date,company,number 
15.12.2014,QFR Q-FREE,200
17.12.2014,QFR Q-FREE,-1400
19.12.2014,QFR Q-FREE,1400
16.01.2015,QFR Q-FREE,-3500
19.01.2015,QFR Q-FREE,750
19.01.2015,QFR Q-FREE,1250
19.01.2015,QFR Q-FREE,600
19.01.2015,QFR Q-FREE,500
20.01.2015,QFR Q-FREE,400
21.01.2015,QFR Q-FREE,700
28.01.2015,QFR Q-FREE,-3400
28.01.2015,QFR Q-FREE,-5000
28.01.2015,QFR Q-FREE,1600
28.01.2015,QFR Q-FREE,750
29.01.2015,QFR Q-FREE,900
29.01.2015,QFR Q-FREE,450
09.02.2015,QFR Q-FREE,900
09.02.2015,QFR Q-FREE,1000
09.02.2015,QFR Q-FREE,1100
11.02.2015,BULL OBX X4 ETN DNM NO 0010708894,700
12.02.2015,HEX HEXAGON COMPOSITES,2000
12.02.2015,HEX HEXAGON COMPOSITES,1400
12.02.2015,HEX HEXAGON COMPOSITES,800
12.02.2015,HEX HEXAGON COMPOSITES,1100
12.02.2015,HEX HEXAGON COMPOSITES,1000
13.02.2015,HEX HEXAGON COMPOSITES,1100
13.02.2015,BULL OBX X4 ETN DNM NO 0010708894,-700
13.02.2015,HEX HEXAGON COMPOSITES,1600
13.02.2015,QFR Q-FREE,-1046
05.03.2015,QFR Q-FREE,-1954
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,210
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,70
05.03.2015,QFR Q-FREE,-1500
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,120
11.03.2015,BULL NHY X3 ETN DNM NO 0010708878,-400
11.03.2015,BULL SEADRILL ETN DNM,6000
11.03.2015,Seadrill,130
12.03.2015,BULL SEADRILL ETN DNM,-6000
12.03.2015,HEX HEXAGON COMPOSITES,1000
12.03.2015,HEX HEXAGON COMPOSITES,500
17.03.2015,QFR Q-FREE,100
20.03.2015,QFR Q-FREE,-1000
20.03.2015,QFR Q-FREE,500
23.03.2015,QFR Q-FREE,650
27.03.2015,HEX HEXAGON COMPOSITES,-1500
27.03.2015,Seadrill,300
07.04.2015,HEX HEXAGON COMPOSITES,-1000
07.04.2015,QFR Q-FREE,1750
16.04.2015,Seadrill,-300
16.04.2015,QFR Q-FREE,-1000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,1200
16.04.2015,HEX HEXAGON COMPOSITES,-1000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,4000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2400
16.04.2015,HEX HEXAGON COMPOSITES,-2000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2400
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2500
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-2500
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-3000
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-7000
20.04.2015,IMSK IMSK,10000
20.04.2015,BULL OBX X4 ETN DNM NO 0010708894,1000
20.04.2015,IMSK IMSK,10000
20.04.2015,IMSK IMSK,6000
20.04.2015,BULL OBX X4 ETN DNM NO 0010708894,-1000
23.04.2015,BULL NHY X3 ETN DNM NO 0010708878,500
23.04.2015,BULL NHY X3 ETN DNM NO 0010708878,240
29.04.2015,IMSK IMSK,-13000
29.04.2015,BULL NHY X3 ETN DNM NO 0010708878,1060
04.05.2015,BULL NHY X3 ETN DNM NO 0010708878,-400
07.05.2015,BULL NHY X3 ETN DNM NO 0010708878,300
12.05.2015,HEX HEXAGON COMPOSITES,-2500
12.05.2015,HEX HEXAGON COMPOSITES,-2500
12.05.2015,BULL NHY X3 ETN DNM NO 0010708878,1000
13.05.2015,IMSK IMSK,3000
15.05.2015,BULL NHY X3 ETN DNM NO 0010708878,-300
15.05.2015,BULL NHY X3 ETN DNM NO 0010708878,-400
15.05.2015,IMSK IMSK,5000
15.05.2015,BULKIN Bulk Invest ASA,7000
18.05.2015,BULL NHY X3 ETN DNM NO 0010708878,-1000
18.05.2015,BULL NHY X3 ETN DNM NO 0010708878,-1000
18.05.2015,IMSK IMSK,9000
18.05.2015,KOA KONGSBERG AUTOMOT,10000
18.05.2015,KOA KONGSBERG AUTOMOT,5000
18.05.2015,KOA KONGSBERG AUTOMOT,5000
19.05.2015,KOA KONGSBERG AUTOMOT,1000
01.06.2015,SCHB SCHIBSTED SER. B,50
17.06.2015,KOA KONGSBERG AUTOMOT,-5000
17.06.2015,KOA KONGSBERG AUTOMOT,-6000
19.06.2015,BULL NHY X3 ETN DNM NO 0010708878,480
22.06.2015,BULL NHY X3 ETN DNM NO 0010708878,-480
22.06.2015,TRMED THOR MEDICAL,800
24.06.2015,TRMED THOR MEDICAL,-800
25.06.2015,KOA KONGSBERG AUTOMOT,-10000
25.06.2015,QFR Q-FREE,1200
29.06.2015,QFR Q-FREE,500
02.07.2015,QFR Q-FREE,400
02.07.2015,QFR Q-FREE,500
07.07.2015,IMSK IMSK,-10000
07.07.2015,IMSK IMSK,-20000
07.07.2015,BULKIN Bulk Invest ASA,-2000
07.07.2015,QFR Q-FREE,600
07.07.2015,QFR Q-FREE,900
08.07.2015,BULL NHY X3 ETN DNM NO 0010708878,600
22.07.2015,BULL NHY X3 ETN DNM NO 0010708878,300
24.07.2015,BULL NHY X3 ETN DNM NO 0010708878,-200
17.08.2015,QFR Q-FREE,800
19.08.2015,BULL NHY X3 ETN DNM NO 0010708878,-700
21.08.2015,BULKIN Bulk Invest ASA,-6000
21.08.2015,Seadrill,-300
21.08.2015,QFR Q-FREE,-1000
21.08.2015,QFR Q-FREE,-3000
21.08.2015,QFR Q-FREE,-2000
21.08.2015,QFR Q-FREE,-2400
25.08.2015,QFR Q-FREE,1300
25.08.2015,IMSK IMSK,7000
25.08.2015,IMSK IMSK,8000
25.08.2015,QFR Q-FREE,1000
27.08.2015,QFR Q-FREE,2000
27.08.2015,QFR Q-FREE,1000
27.08.2015,QFR Q-FREE,700
27.08.2015,QFR Q-FREE,2000
27.08.2015,QFR Q-FREE,1000
27.08.2015,QFR Q-FREE,1200
03.09.2015,IMSK IMSK,-5000
03.09.2015,QFR Q-FREE,-1200
09.09.2015,IMSK IMSK,4998
09.09.2015,IMSK IMSK,5002
09.09.2015,BULKIN Bulk Invest ASA,4000
10.09.2015,IMSK IMSK,-5000
25.09.2015,Q-FREE,1
29.09.2015,IMSK IMSK,-15000
29.09.2015,Q-FREE,-1500
29.09.2015,Q-FREE,1450
05.10.2015,QFR Q-FREE,300
06.10.2015,QFR Q-FREE,1000
09.10.2015,QFR Q-FREE,1100
12.10.2015,BULKIN Bulk Invest ASA,2000
14.10.2015,Q-FREE,1
21.10.2015,Q-FREE,25
22.10.2015,QFR Q-FREE,800
22.10.2015,QFR Q-FREE,400
23.10.2015,QFR Q-FREE,-1600
23.10.2015,NORSK HYDRO,-10
23.10.2015,Q-FREE,30
26.10.2015,QFR Q-FREE,400
26.10.2015,QFR Q-FREE,200
26.10.2015,QFR Q-FREE,150
26.10.2015,QFR Q-FREE,1250
26.10.2015,QFR Q-FREE,600
27.10.2015,ODFJELL DRILLING LTD,-88
27.10.2015,Q-FREE,35
27.10.2015,ODFJELL DRILLING LTD,-200
27.10.2015,Q-FREE,58
27.10.2015,Q-FREE,50
30.10.2015,QFR Q-FREE,-2600
04.11.2015,SBANK SBANKEN,1209
05.11.2015,QFR Q-FREE,-2500
05.11.2015,QFR Q-FREE,-1400
05.11.2015,QFR Q-FREE,-2000
09.11.2015,GJF GJENSIDIGE FORSIKR,-600
11.11.2015,QFR Q-FREE,-1000
11.11.2015,QFR Q-FREE,-5100
11.11.2015,QFR Q-FREE,450
11.11.2015,QFR Q-FREE,400
13.11.2015,QFR Q-FREE,350
13.11.2015,QFR Q-FREE,400
16.11.2015,QFR Q-FREE,400
20.11.2015,QFR Q-FREE,350
20.11.2015,QFR Q-FREE,350
23.11.2015,QFR Q-FREE,1100
23.11.2015,GJF GJENSIDIGE FORSIKR,70
23.11.2015,GJF GJENSIDIGE FORSIKR,80
23.11.2015,GJF GJENSIDIGE FORSIKR,60
23.11.2015,GJF GJENSIDIGE FORSIKR,40
23.11.2015,GJF GJENSIDIGE FORSIKR,60
23.11.2015,SBANK SBANKEN,151
24.11.2015,GJF GJENSIDIGE FORSIKR,50
24.11.2015,GJF GJENSIDIGE FORSIKR,50
24.11.2015,SBANK SBANKEN,140
25.11.2015,BULKIN Bulk Invest ASA,-3000
26.11.2015,QFR Q-FREE,-800
01.12.2015,GJF GJENSIDIGE FORSIKR,170
01.12.2015,GJF GJENSIDIGE FORSIKR,60
01.12.2015,WAWI WALLENIUS WILHELMS,177
08.12.2015,QFR Q-FREE,-1750
08.12.2015,QFR Q-FREE,-2250
08.12.2015,QFR Q-FREE,-2000
09.12.2015,QFR Q-FREE,-2500
09.12.2015,BULKIN Bulk Invest ASA,-5000
09.12.2015,GJF GJENSIDIGE FORSIKR,-40
09.12.2015,BULL NHY X3 ND,75
09.12.2015,NHY NORSK HYDRO,150
10.12.2015,BULL NHY X3 ND,-75
10.12.2015,NHY NORSK HYDRO,200
10.12.2015,QFR Q-FREE,800
10.12.2015,BWLPG BW LPG,127
14.12.2015,BULL NHY X3 ND,75
16.12.2015,BULL NHY X3 ND,40
17.12.2015,BULL NHY X3 ND,95
04.01.2016,QFR Q-FREE,1000
04.01.2016,QFR Q-FREE,600
06.01.2016,BULL NHY X3 ND,-210
12.01.2016,GJF GJENSIDIGE FORSIKR,-300
12.01.2016,SBANK SBANKEN,-300
12.01.2016,QFR Q-FREE,500
12.01.2016,QFR Q-FREE,600
12.01.2016,QFR Q-FREE,300
12.01.2016,QFR Q-FREE,800
12.01.2016,QFR Q-FREE,500
12.01.2016,SBANK SBANKEN,150
13.01.2016,QFR Q-FREE,500
13.01.2016,QFR Q-FREE,500
18.01.2016,SBANK SBANKEN,-250
22.01.2016,QFR Q-FREE,500
26.01.2016,GJF GJENSIDIGE FORSIKR,80
26.01.2016,GJF GJENSIDIGE FORSIKR,60
26.01.2016,GJF GJENSIDIGE FORSIKR,40
27.01.2016,BULL NHY X3 ETN DNM NO 0010708878,500
27.01.2016,Q-FREE,250
28.01.2016,BULL NHY X3 ETN DNM NO 0010708878,-500
28.01.2016,QFR Q-FREE,400
01.02.2016,BULL NHY X3 ETN DNM NO 0010708878,500
04.02.2016,BULL NHY X3 ETN DNM NO 0010708878,-500
05.02.2016,QFR Q-FREE,400
05.02.2016,QFR Q-FREE,500
05.02.2016,QFR Q-FREE,400
10.02.2016,QFR Q-FREE,-4000
10.02.2016,SBANK SBANKEN,-500
12.02.2016,SBANK SBANKEN,-200
16.02.2016,QFR Q-FREE,400
17.02.2016,QFR Q-FREE,100
17.02.2016,QFR Q-FREE,400
17.02.2016,QFR Q-FREE,200
18.02.2016,QFR Q-FREE,500
18.02.2016,SBANK SBANKEN,250
18.02.2016,QFR Q-FREE,400
29.02.2016,GJF GJENSIDIGE FORSIKR,120
29.02.2016,QFR Q-FREE,1300
01.03.2016,QFR Q-FREE,500
01.03.2016,QFR Q-FREE,800
08.03.2016,QFR Q-FREE,300
09.03.2016,SBANK SBANKEN,200
14.03.2016,SBANK SBANKEN,450
14.03.2016,SBANK SBANKEN,300
17.03.2016,SBANK SBANKEN,-7
17.03.2016,SBANK SBANKEN,-293
30.03.2016,BWLPG BW LPG,100
30.03.2016,BWLPG BW LPG,100
05.04.2016,BULL NHY X3 ETN DNM NO 0010708878,700
05.04.2016,BULL NHY X3 ETN DNM NO 0010708878,300
06.04.2016,BULL NHY X3 ETN DNM NO 0010708878,250
18.04.2016,BULL EQNR X3 DNM,700
18.04.2016,BULL EQNR X3 DNM,-700
21.04.2016,BULL MOWI X3 DNM,350
25.04.2016,BULL DAX X1 ND,100
26.04.2016,BULL DAX X1 ND,85
26.04.2016,BULL DAX X1 ND,45
27.04.2016,BULL DAX X1 ND,-230
27.04.2016,BULL NHY X3 ETN DNM NO 0010708878,400
28.04.2016,BULL NHY X3 ETN DNM NO 0010708878,-650
28.04.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
28.04.2016,BULL MOWI X3 DNM,350
28.04.2016,BULL NHY X3 ETN DNM NO 0010708878,1000
29.04.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
29.04.2016,BULL MOWI X3 DNM,-700
29.04.2016,QFR Q-FREE,1300
29.04.2016,QFR Q-FREE,1000
29.04.2016,QFR Q-FREE,1000
02.05.2016,QFR Q-FREE,500
02.05.2016,BULL NHY X3 ND,225
09.05.2016,BULL NHY X3 ND,200
12.05.2016,BULL NHY X3 ND,-425
19.05.2016,BULL NHY X3 ETN DNM NO 0010708878,850
24.05.2016,BULL NHY X3 ETN DNM NO 0010708878,-850
24.05.2016,BULL REC X3 ND,700
25.05.2016,BULL REC X3 ND,-700
26.05.2016,BWLPG BW LPG,450
30.05.2016,IMSK IMSK,6000
31.05.2016,BULKIN Bulk Invest ASA,-10000
08.06.2016,TRE TREASURE,1400
13.06.2016,IMSK IMSK,-2500
13.06.2016,QFR Q-FREE,-2500
13.06.2016,QFR Q-FREE,-4500
13.06.2016,QFR Q-FREE,-3500
13.06.2016,QFR Q-FREE,1500
13.06.2016,QFR Q-FREE,1000
13.06.2016,QFR Q-FREE,750
13.06.2016,QFR Q-FREE,1250
13.06.2016,QFR Q-FREE,700
14.06.2016,QFR Q-FREE,200
14.06.2016,QFR Q-FREE,400
16.06.2016,QFR Q-FREE,750
16.06.2016,QFR Q-FREE,850
17.06.2016,QFR Q-FREE,700
17.06.2016,QFR Q-FREE,400
20.06.2016,HEX HEXAGON COMPOSITES,600
20.06.2016,HEX HEXAGON COMPOSITES,400
20.06.2016,QFR Q-FREE,700
20.06.2016,QFR Q-FREE,700
20.06.2016,QFR Q-FREE,500
20.06.2016,IMSK IMSK,-1000
21.06.2016,QFR Q-FREE,500
21.06.2016,QFR Q-FREE,500
22.06.2016,HEX HEXAGON COMPOSITES,-1000
22.06.2016,IMSK IMSK,-2500
22.06.2016,QFR Q-FREE,200
23.06.2016,QFR Q-FREE,600
23.06.2016,QFR Q-FREE,300
24.06.2016,QFR Q-FREE,300
24.06.2016,QFR Q-FREE,700
24.06.2016,QFR Q-FREE,1000
24.06.2016,QFR Q-FREE,200
24.06.2016,QFR Q-FREE,600
24.06.2016,QFR Q-FREE,600
27.06.2016,BULL NHY X3 ETN DNM NO 0010708878,1000
28.06.2016,BULL NHY X3 ETN DNM NO 0010708878,-1000
28.06.2016,QFR Q-FREE,300
29.06.2016,BWLPG BW LPG,600
29.06.2016,BWLPG BW LPG,300
29.06.2016,BWLPG BW LPG,-400
04.07.2016,QFR Q-FREE,500
04.07.2016,QFR Q-FREE,800
14.07.2016,QFR Q-FREE,400
03.08.2016,QFR Q-FREE,-1900
03.08.2016,TRE TREASURE,1000
03.08.2016,BWLPG BW LPG,1000
03.08.2016,WAWI WALLENIUS WILHELMS,600
03.08.2016,BWLPG BW LPG,-1000
05.08.2016,QFR Q-FREE,-2000
15.08.2016,HEX HEXAGON COMPOSITES,1250
15.08.2016,HEX HEXAGON COMPOSITES,750
15.08.2016,HEX HEXAGON COMPOSITES,400
15.08.2016,HEX HEXAGON COMPOSITES,250
18.08.2016,QFR Q-FREE,3000
18.08.2016,QFR Q-FREE,2500
18.08.2016,QFR Q-FREE,1500
18.08.2016,QFR Q-FREE,1000
22.08.2016,QFR Q-FREE,4000
22.08.2016,QFR Q-FREE,2500
22.08.2016,QFR Q-FREE,1000
22.08.2016,QFR Q-FREE,1500
24.08.2016,QFR Q-FREE,1000
25.08.2016,QFR Q-FREE,-1000
25.08.2016,BWLPG BW LPG,500
25.08.2016,BWLPG BW LPG,400
25.08.2016,BWLPG BW LPG,500
12.09.2016,BWLPG BW LPG,-1900
12.09.2016,BWLPG BW LPG,-900
19.09.2016,QFR Q-FREE,500
20.09.2016,QFR Q-FREE,500
20.09.2016,QFR Q-FREE,500
21.09.2016,QFR Q-FREE,500
22.09.2016,QFR Q-FREE,500
22.09.2016,QFR Q-FREE,500
23.09.2016,QFR Q-FREE,-10000
23.09.2016,QFR Q-FREE,-10000
23.09.2016,QFR Q-FREE,-3000
23.09.2016,QFR Q-FREE,-5000
23.09.2016,QFR Q-FREE,-5000
23.09.2016,QFR Q-FREE,10000
23.09.2016,QFR Q-FREE,6500
23.09.2016,QFR Q-FREE,1500
23.09.2016,QFR Q-FREE,1000
23.09.2016,Q-FREE,-2200
23.09.2016,REC SILICON ASA,15000
26.09.2016,BULL REC X3 ND,10000
26.09.2016,BULL REC X3 ND,10000
26.09.2016,BULL REC X3 ND,10000
26.09.2016,BULL REC X3 ND,10000
27.09.2016,BULL REC X3 ND,-9995
29.09.2016,RECSI REC SILICON,30000
29.09.2016,RECSI REC SILICON,15000
29.09.2016,HEX HEXAGON COMPOSITES,350
29.09.2016,RECSI REC SILICON,15000
29.09.2016,BULL REC X3 ND,-30005
29.09.2016,BULL NHY X3 ETN DNM NO 0010708878,1000
29.09.2016,BULL NHY X3 ETN DNM NO 0010708878,1200
29.09.2016,RECSI REC SILICON,-30000
29.09.2016,REC SILICON ASA,-15000
29.09.2016,HEXAGON COMPOSITES,500
30.09.2016,BULL NHY X3 ETN DNM NO 0010708878,400
30.09.2016,RECSI REC SILICON,-30000
30.09.2016,BULL NHY X3 ETN DNM NO 0010708878,1100
30.09.2016,BULL NHY X3 ETN DNM NO 0010708878,250
03.10.2016,BULL NHY X3 ETN DNM NO 0010708878,-950
